pants_id,pants_size,pants_color,pants_formality
21,s,khaki,casual
22,m,black,formal
23,l,navy blue,formal
24,xl,gray,casual
25,xs,olive green,casual
26,m,beige,formal
27,l,white,formal
28,xl,charcoal gray,casual
29,s,brown,casual
30,m,light blue,formal
31,l,taupe,casual
32,xl,dark blue,formal
33,xs,cream,casual
34,m,maroon,formal
35,l,slate gray,casual
36,xl,olive,casual
37,s,navy,formal
38,m,gray,formal
39,l,burgundy,casual
40,xl,black,formal
41,s,beige,casual
42,m,white,formal
43,l,light gray,casual
44,xl,brown,formal
45,xs,khaki,casual
46,m,black,formal
47,l,navy blue,formal
48,xl,gray,casual
49,xs,olive green,casual
50,m,beige,formal
51,l,white,formal
52,xl,charcoal gray,casual
53,s,brown,casual
54,m,light blue,formal
55,l,taupe,casual
56,xl,dark blue,formal
57,xs,cream,casual
58,m,maroon,formal
59,l,slate gray,casual
60,xl,olive,casual
61,s,navy,formal
62,m,gray,formal
63,l,burgundy,casual
64,xl,black,formal
65,s,beige,casual
66,m,white,formal
67,l,light gray,casual
68,xl,brown,formal
69,xs,khaki,casual
70,m,black,formal
71,l,navy blue,formal
72,xl,gray,casual
73,xs,olive green,casual
74,m,beige,formal
75,l,white,formal
76,xl,charcoal gray,casual
77,s,brown,casual
78,m,light blue,formal
79,l,taupe,casual
80,xl,dark blue,formal
81,xs,cream,casual
82,m,maroon,formal
83,l,slate gray,casual
84,xl,olive,casual
85,s,navy,formal
86,m,gray,formal
87,l,burgundy,casual
88,xl,black,formal
89,s,beige,casual
90,m,white,formal
91,l,light gray,casual
92,xl,brown,formal
93,xs,khaki,casual
94,m,black,formal
95,l,navy blue,formal
96,xl,gray,casual
97,xs,olive green,casual
98,m,beige,formal
99,l,white,formal
100,xl,charcoal gray,casual
101,s,brown,casual
102,m,light blue,formal
103,l,taupe,casual
104,xl,dark blue,formal
105,xs,cream,casual
106,m,maroon,formal
107,l,slate gray,casual
108,xl,olive,casual
109,s,navy,formal
110,m,gray,formal
111,l,burgundy,casual
112,xl,black,formal
113,s,beige,casual
114,m,white,formal
115,l,light gray,casual
116,xl,brown,formal
117,xs,khaki,casual
118,m,black,formal
119,l,navy blue,formal
120,xl,gray,casual
121,xs,olive green,casual
122,m,beige,formal
123,l,white,formal
124,xl,charcoal gray,casual
125,s,brown,casual
126,m,light blue,formal
127,l,taupe,casual
128,xl,dark blue,formal
129,xs,cream,casual
130,m,maroon,formal
131,l,slate gray,casual
132,xl,olive,casual
133,s,navy,formal
134,m,gray,formal
135,l,burgundy,casual
136,xl,black,formal
137,s,beige,casual
138,m,white,formal
139,l,light gray,casual
140,xl,brown,formal
141,xs,khaki,casual
142,m,black,formal
143,l,navy blue,formal
144,xl,gray,casual
145,xs,olive green,casual
146,m,beige,formal
147,l,white,formal
148,xl,charcoal gray,casual
149,s,brown,casual
150,m,light blue,formal
151,l,taupe,casual
152,xl,dark blue,formal
153,xs,cream,casual
154,m,maroon,formal
155,l,slate gray,casual
156,xl,olive,casual
157,s,navy,formal
158,m,gray,formal
159,l,burgundy,casual
160,xl,black,formal
161,s,beige,casual
162,m,white,formal
163,l,light gray,casual
164,xl,brown,formal
165,xs,khaki,casual
166,m,black,formal
167,l,navy blue,formal
168,xl,gray,casual
169,xs,olive green,casual
170,m,beige,formal
171,l,white,formal
172,xl,charcoal gray,casual
173,s,brown,casual
174,m,light blue,formal
175,l,taupe,casual
176,xl,dark blue,formal
177,xs,cream,casual
178,m,maroon,formal
179,l,slate gray,casual
180,xl,olive,casual
181,s,navy,formal
182,m,gray,formal
183,l,burgundy,casual
184,xl,black,formal
185,s,beige,casual
186,m,white,formal
187,l,light gray,casual
188,xl,brown,formal
189,xs,khaki,casual
190,m,black,formal
191,l,navy blue,formal
192,xl,gray,casual
193,xs,olive green,casual
194,m,beige,formal
195,l,white,formal
196,xl,charcoal gray,casual
